SalesOrderID,OrderQty,ProductID
43659,1,776
43659,3,777
43659,1,778
43659,1,771
43659,1,772
43659,2,773
43659,1,774
43659,3,714
43659,1,716
43659,6,709
43659,2,712
43659,4,711
43660,1,762
43660,1,758
43661,1,745
43661,1,743
43661,2,747
43661,4,712
43661,4,715
43661,2,742
43661,3,775
43661,2,778
43661,2,711
43661,2,741
43661,4,776
43661,2,773
43661,2,716
43661,2,777
43661,5,708
43662,3,764
43662,5,770
43662,2,730
43662,4,754
43662,3,725
43662,5,762
43662,3,765
43662,2,768
43662,1,753
43662,1,756
43662,3,763
43662,1,732
43662,6,758
43662,1,729
43662,3,722
43662,1,749
43662,3,760
43662,1,726
43662,1,733
43662,1,738
43662,3,766
43662,1,755
43663,1,760
43664,1,772
43664,4,775
43664,1,714
43664,1,716
43664,2,777
43664,3,771
43664,1,773
43664,1,778
43665,2,711
43665,1,773
43665,1,707
43665,2,715
43665,2,777
43665,2,712
43665,2,775
43665,1,778
43665,6,709
43665,1,776
43666,1,764
43666,1,753
43666,1,732
43666,1,756
43666,2,768
43666,1,766
43667,3,710
43667,1,773
43667,1,778
43667,1,775
43668,3,756
43668,2,753
43668,7,760
43668,6,765
43668,6,715
43668,6,730
43668,2,707
43668,2,711
43668,2,754
43668,4,712
43668,2,729
43668,3,755
43668,3,761
43668,2,770
43668,3,726
43668,2,764
43668,2,766
43668,2,725
43668,1,716
43668,2,768
43668,4,732
43668,6,758
43668,4,762
43668,3,738
43668,4,714
43668,3,722
43668,1,708
43668,3,733
43668,3,763
43669,1,747
43670,1,710
43670,2,709
43670,2,773
43670,1,776
43671,1,753
43671,2,714
43671,1,756
43671,2,768
43671,2,732
43671,2,763
43671,2,755
43671,2,764
43671,1,716
43671,1,711
43671,1,708
43672,6,709
43672,2,776
43672,1,774
43673,1,754
43673,3,715
43673,1,729
43673,2,761
43673,1,762
43673,2,738
43673,2,770
43673,1,712
43673,2,708
43673,1,711
43673,4,707
43674,3,758
43675,4,761
43675,5,711
43675,2,738
43675,1,708
43675,2,762
43675,2,758
43675,2,712
43675,1,754
43675,3,715
43676,2,776
43676,2,778
43676,1,710
43676,3,775
43676,4,709
43677,3,715
43677,1,753
43677,1,758
43677,1,770
43677,2,708
43677,4,760
43677,2,765
43677,1,763
43677,5,712
43677,1,707
43677,1,754
43677,2,729
43678,1,760
43678,2,738
43678,1,765
43678,2,732
43678,3,762
43678,2,761
43678,3,712
43678,4,708
43678,2,729
43678,1,756
43678,2,725
43678,1,716
43678,1,770
43678,2,758
43678,2,715
43678,1,754
43678,1,755
43678,3,711
43678,1,707
43679,1,760
43679,2,770
43679,2,715
43680,3,760
43680,2,756
43680,2,738
43680,4,707
43680,1,729
43680,1,711
43680,2,715
43680,2,725
43680,1,758
43680,1,761
43680,2,753
43680,2,708
43680,3,765
43680,3,712
43680,1,763
43681,6,715
43681,5,762
43681,1,732
43681,1,707
43681,1,729
43681,2,708
43681,3,770
43681,2,730
43681,3,758
43681,1,768
43681,2,761
43681,2,738
43681,1,753
43681,2,714
43681,2,764
43681,2,760
43681,1,756
43681,2,716
43681,2,711
43681,1,725
43681,2,712
43682,2,758
43682,1,762
43682,2,760
43682,2,770
43682,1,715
43683,2,776
43683,2,715
43683,2,773
43683,1,774
43683,1,708
43683,2,711
43683,3,712
43683,4,775
43683,6,777
43683,1,772
43683,3,707
43683,5,778
43683,6,709
43684,2,754
43684,2,762
43684,1,760
43684,2,758
43684,1,770
43684,1,763
43685,3,765
43685,1,763
43685,1,754
43685,1,725
43686,3,758
43686,1,762
43686,1,770
43687,1,768
43687,2,765
43688,1,725
43688,2,760
43688,3,762
43688,1,738
43688,1,763
43688,2,729
43688,2,754
43688,2,758
43688,3,765
43688,1,770
43688,2,753
43689,3,764
43689,2,738
43689,2,725
43689,1,753
43689,2,755
43689,4,766
43689,2,770
43689,7,760
43689,3,726
43689,1,722
43689,6,763
43689,2,729
43689,2,730
43689,2,732
43689,5,765
43689,2,768
43689,2,761
43689,3,758
43689,2,749
43689,9,762
43689,4,754
43690,1,715
43690,1,770
43690,2,712
43690,2,760
43691,1,758
43692,5,770
43692,1,725
43692,8,754
43692,2,730
43692,10,715
43692,1,768
43692,4,756
43692,2,738
43692,8,758
43692,3,708
43692,6,762
43692,3,732
43692,6,712
43692,4,714
43692,7,760
43692,2,755
43692,4,716
43692,2,765
43692,1,764
43692,2,753
43692,1,766
43692,1,722
43692,3,761
43692,3,711
43692,1,763
43692,2,729
43692,4,707
43692,2,726
43693,3,716
43693,1,773
43693,6,709
43693,2,707
43693,3,771
43693,2,708
43693,1,774
43693,3,777
43693,1,772
43693,1,778
43694,3,776
43694,3,771
43694,2,715
43694,1,772
43694,3,716
43694,1,707
43694,1,708
43694,1,774
43694,2,773
43694,1,712
43694,5,711
43695,2,774
43695,2,748
43695,1,747
43695,1,742
43695,5,777
43695,6,778
43695,2,709
43695,5,775
43696,1,762
43697,1,749
43698,1,773
43699,1,773
43700,1,767
43701,1,773
43702,1,750
43703,1,749
43704,1,778
43705,1,771
43706,1,751
43707,1,751
43708,1,764
43709,1,752
43710,1,753
43711,1,753
43712,1,750
43713,1,749
43714,1,750
43715,1,753
43716,1,750
43717,1,767
43718,1,750
43719,1,751
43720,1,750
43721,1,749
43722,1,751
43723,1,765
43724,1,750
43725,1,750
43726,1,765
43727,1,750
43728,1,752
43729,1,773
43730,1,773
43731,1,753
43732,1,777
43733,1,751
43734,1,751
43735,1,749
43736,1,773
43737,1,750
43738,1,751
43739,1,749
43740,1,751
43741,1,749
43742,1,753
43743,1,774
43744,1,752
43745,1,750
43746,1,751
43747,1,753
43748,1,752
43749,1,753
43750,1,750
43751,1,752
43752,1,750
43753,1,749
43754,1,751
43755,1,750
43756,1,765
43757,1,777
43758,1,749
43759,1,749
43760,1,753
43761,1,749
43762,1,753
43763,1,752
43764,1,749
43765,1,773
43766,1,752
43767,1,777
43768,1,751
43769,1,751
43770,1,751
43771,1,764
43772,1,751
43773,1,753
43774,1,752
43775,1,774
43776,1,753
43777,1,750
43778,1,772
43779,1,762
43780,1,750
43781,1,751
43782,1,751
43783,1,751
43784,1,749
43785,1,750
43786,1,750
43787,1,771
43788,1,778
43789,1,778
43790,1,771
43791,1,753
43792,1,751
43793,1,771
43794,1,774
43795,1,751
43796,1,770
43797,1,751
43798,1,749
43799,1,751
43800,1,750
43801,1,750
43802,1,751
43803,1,753
43804,1,749
43805,1,763
43806,1,751
43807,1,751
43808,1,752
43809,1,749
43810,1,772
43811,1,773
43812,1,751
43813,1,777
43814,1,777
43815,1,750
43816,1,753
43817,1,749
43818,1,751
43819,1,773
43820,1,751
43821,1,749
43822,1,752
43823,1,770
43824,1,768
43825,1,752
43826,1,775
43827,1,768
43828,1,749
43829,1,749
43830,1,750
43831,1,776
43832,1,749
43833,1,749
43834,1,775
43835,1,775
43836,1,761
43837,1,777
43838,1,752
43839,1,750
43840,1,762
43841,1,753
43842,1,751
43843,2,774
43843,2,778
43843,2,742
43843,5,777
43843,2,748
43843,1,741
43843,1,745
43843,2,771
43843,2,709
43843,3,776
43844,4,775
43844,2,776
43844,3,777
43844,1,778
43845,1,725
43845,3,715
43845,1,770
43845,2,763
43845,2,761
43845,1,754
43845,2,765
43845,2,753
43845,1,729
43845,4,712
43846,3,729
43846,1,712
43846,1,738
43846,1,725
43847,1,715
43847,1,712
43847,1,758
43848,1,773
43848,1,778
43848,1,775
43848,4,776
43848,2,771
43849,2,776
43849,1,714
43849,2,777
43849,2,771
43849,1,711
43849,1,773
43849,4,715
43849,1,772
43849,1,707
43849,2,774
43849,1,708
43850,1,765
43850,1,755
43850,1,761
43850,2,762
43850,1,753
43850,3,725
43850,1,729
43850,3,758
43850,1,756
43850,3,732
43850,1,738
43851,2,761
43851,1,760
43851,1,711
43851,3,770
43851,1,707
43851,1,725
43851,1,754
43851,3,738
43851,1,753
43851,1,765
43851,1,712
43851,3,708
43852,1,776
43853,2,777
43853,1,773
43853,1,771
43853,4,776
43853,2,775
43853,3,778
43854,2,758
43855,2,765
43855,2,760
43855,1,753
43855,4,761
43855,1,738
43855,3,762
43855,2,732
43855,1,766
43855,1,726
43855,2,770
43855,1,725
43855,1,755
43855,2,768
43856,2,709
43856,1,777
43857,1,760
43857,1,765
43857,2,762
43857,3,758
43857,1,715
43857,3,712
43857,1,716
43857,1,725
43857,2,711
43857,1,708
43857,2,738
43857,1,763
43857,2,754
43857,2,707
43858,2,762
43858,2,761
43858,5,770
43858,1,765
43858,2,738
43858,3,763
43858,2,754
43858,1,722
43858,2,753
43858,1,726
43858,1,766
43858,1,729
43858,1,756
43859,1,715
43859,1,762
43859,3,758
43859,2,760
43860,2,761
43860,1,770
43860,2,758
43860,2,765
43860,1,732
43860,1,762
43860,1,738
43860,1,768
43860,2,753
43860,1,729
43860,1,763
43860,1,756
43861,1,732
43861,3,764
43861,5,770
43861,2,768
43861,1,725
43861,9,715
43861,4,765
43861,1,753
43861,2,733
43861,2,730
43861,2,766
43861,4,711
43861,3,754
43861,2,756
43861,2,729
43861,4,760
43861,2,755
43861,6,716
43861,2,763
43861,2,758
43861,9,712
43861,2,761
43861,4,707
43861,1,738
43861,3,714
43861,2,722
43861,3,708
43862,4,771
43862,1,741
43862,3,777
43862,4,773
43862,2,747
43862,2,748
43862,2,774
43862,1,745
43862,4,709
43863,1,758
43863,1,712
43863,1,760
43863,1,762
43864,5,772
43864,1,747
43864,2,741
43864,2,778
43864,4,776
43864,1,748
43864,2,771
43864,4,773
43864,1,745
43865,1,758
43865,2,770
43865,1,753
43865,4,760
43865,1,725
43865,4,729
43865,1,762
43865,2,763
43865,5,715
43865,1,738
43865,3,712
43865,3,765
43865,3,761
43865,3,754
43866,1,771
43866,1,777
43866,2,709
43867,1,708
43867,1,774
43867,2,776
43867,2,715
43867,2,773
43867,2,709
43867,3,714
43867,4,771
43867,2,711
43867,1,707
43867,2,778
43867,4,712
43867,2,743
43867,1,748
43867,3,742
43867,2,741
43867,2,777
43867,1,716
43868,1,749
43869,1,747
43869,5,775
43869,2,777
43869,2,745
43869,5,771
43869,4,772
43869,1,743
43869,1,774
43869,5,778
43869,2,742
43870,3,760
43870,2,762
43870,3,715
43870,3,770
43870,1,758
43871,1,712
43871,1,761
43871,2,729
43871,2,707
43871,1,758
43871,1,725
43871,1,762
43871,2,715
43871,3,754
43871,1,753
43871,4,708
43871,2,760
43871,3,770
43871,4,711
43872,1,763
43872,1,708
43872,3,758
43872,2,756
43872,1,765
43872,2,711
43872,4,707
43872,2,725
43872,1,732
43872,1,738
43872,1,753
43872,2,754
43872,1,755
43872,4,716
43872,1,760
43872,4,712
43873,6,770
