SalesOrderID,OrderDate,TotalDue
43659,2005-07-01 00:00:00,23153.2339
43660,2005-07-01 00:00:00,1457.3288
43661,2005-07-01 00:00:00,36865.8012
43662,2005-07-01 00:00:00,32474.9324
43663,2005-07-01 00:00:00,472.3108
43664,2005-07-01 00:00:00,27510.4109
43665,2005-07-01 00:00:00,16158.6961
43666,2005-07-01 00:00:00,5694.8564
43667,2005-07-01 00:00:00,6876.3649
43668,2005-07-01 00:00:00,40487.7233
43669,2005-07-01 00:00:00,807.2585
43670,2005-07-01 00:00:00,6893.2549
43671,2005-07-01 00:00:00,9153.6054
43672,2005-07-01 00:00:00,6895.41
43673,2005-07-01 00:00:00,4216.0258
43674,2005-07-01 00:00:00,2955.0542
43675,2005-07-01 00:00:00,6434.0848
43676,2005-07-01 00:00:00,15992.7446
43677,2005-07-01 00:00:00,8773.681
43678,2005-07-01 00:00:00,11036.3964
43679,2005-07-01 00:00:00,1481.1742
43680,2005-07-01 00:00:00,12832.9009
43681,2005-07-01 00:00:00,15524.0686
43682,2005-07-01 00:00:00,4363.7107
43683,2005-07-01 00:00:00,48204.0662
43684,2005-07-01 00:00:00,6301.6258
43685,2005-07-01 00:00:00,3082.0191
43686,2005-07-01 00:00:00,3899.6756
43687,2005-07-01 00:00:00,1416.9322
43688,2005-07-01 00:00:00,14323.1194
43689,2005-07-01 00:00:00,38291.2063
43690,2005-07-01 00:00:00,1460.6061
43691,2005-07-01 00:00:00,985.018
43692,2005-07-01 00:00:00,43362.4196
43693,2005-07-01 00:00:00,23126.45
43694,2005-07-01 00:00:00,23242.1865
43695,2005-07-01 00:00:00,44344.8265
43696,2005-07-01 00:00:00,472.3108
43697,2005-07-01 00:00:00,3953.9884
43698,2005-07-01 00:00:00,3756.989
43699,2005-07-01 00:00:00,3756.989
43700,2005-07-01 00:00:00,772.5036
43701,2005-07-01 00:00:00,3756.989
43702,2005-07-02 00:00:00,3953.9884
43703,2005-07-02 00:00:00,3953.9884
43704,2005-07-02 00:00:00,3729.364
43705,2005-07-02 00:00:00,3756.989
43706,2005-07-03 00:00:00,3953.9884
43707,2005-07-03 00:00:00,3953.9884
43708,2005-07-03 00:00:00,772.5036
43709,2005-07-03 00:00:00,3953.9884
43710,2005-07-03 00:00:00,3953.9884
43711,2005-07-04 00:00:00,3953.9884
43712,2005-07-04 00:00:00,3953.9884
43713,2005-07-05 00:00:00,3953.9884
43714,2005-07-05 00:00:00,3953.9884
43715,2005-07-05 00:00:00,3953.9884
43716,2005-07-05 00:00:00,3953.9884
43717,2005-07-05 00:00:00,772.5036
43718,2005-07-06 00:00:00,3953.9884
43719,2005-07-06 00:00:00,3953.9884
43720,2005-07-06 00:00:00,3953.9884
43721,2005-07-06 00:00:00,3953.9884
43722,2005-07-07 00:00:00,3953.9884
43723,2005-07-07 00:00:00,772.5036
43724,2005-07-07 00:00:00,3953.9884
43725,2005-07-08 00:00:00,3953.9884
43726,2005-07-08 00:00:00,772.5036
43727,2005-07-08 00:00:00,3953.9884
43728,2005-07-09 00:00:00,3953.9884
43729,2005-07-09 00:00:00,3756.989
43730,2005-07-09 00:00:00,3756.989
43731,2005-07-09 00:00:00,3953.9884
43732,2005-07-09 00:00:00,3729.364
43733,2005-07-09 00:00:00,3953.9884
43734,2005-07-10 00:00:00,3953.9884
43735,2005-07-10 00:00:00,3953.9884
43736,2005-07-10 00:00:00,3756.989
43737,2005-07-11 00:00:00,3953.9884
43738,2005-07-11 00:00:00,3953.9884
43739,2005-07-11 00:00:00,3953.9884
43740,2005-07-11 00:00:00,3953.9884
43741,2005-07-12 00:00:00,3953.9884
43742,2005-07-12 00:00:00,3953.9884
43743,2005-07-12 00:00:00,3756.989
43744,2005-07-12 00:00:00,3953.9884
43745,2005-07-13 00:00:00,3953.9884
43746,2005-07-13 00:00:00,3953.9884
43747,2005-07-14 00:00:00,3953.9884
43748,2005-07-14 00:00:00,3953.9884
43749,2005-07-14 00:00:00,3953.9884
43750,2005-07-14 00:00:00,3953.9884
43751,2005-07-14 00:00:00,3953.9884
43752,2005-07-14 00:00:00,3953.9884
43753,2005-07-14 00:00:00,3953.9884
43754,2005-07-15 00:00:00,3953.9884
43755,2005-07-15 00:00:00,3953.9884
43756,2005-07-15 00:00:00,772.5036
43757,2005-07-15 00:00:00,3729.364
43758,2005-07-16 00:00:00,3953.9884
43759,2005-07-16 00:00:00,3953.9884
43760,2005-07-16 00:00:00,3953.9884
43761,2005-07-16 00:00:00,3953.9884
43762,2005-07-17 00:00:00,3953.9884
43763,2005-07-17 00:00:00,3953.9884
43764,2005-07-17 00:00:00,3953.9884
43765,2005-07-17 00:00:00,3756.989
43766,2005-07-18 00:00:00,3953.9884
43767,2005-07-18 00:00:00,3729.364
43768,2005-07-19 00:00:00,3953.9884
43769,2005-07-19 00:00:00,3953.9884
43770,2005-07-19 00:00:00,3953.9884
43771,2005-07-19 00:00:00,772.5036
43772,2005-07-19 00:00:00,3953.9884
43773,2005-07-19 00:00:00,3953.9884
43774,2005-07-19 00:00:00,3953.9884
43775,2005-07-19 00:00:00,3756.989
43776,2005-07-20 00:00:00,3953.9884
43777,2005-07-20 00:00:00,3953.9884
